,State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
180359,New York,New York,36,61,2012-05-27,66,Moderate,PM2.5,36-061-0134,4
180360,New York,New York,36,61,2012-05-28,97,Moderate,Ozone,36-061-0135,3
180361,New York,New York,36,61,2012-05-29,56,Moderate,PM2.5,36-061-0128,3
180362,New York,New York,36,61,2012-05-30,57,Moderate,PM2.5,36-061-0134,4
180363,New York,New York,36,61,2012-05-31,44,Good,Ozone,36-061-0135,3
180364,New York,New York,36,61,2012-06-01,38,Good,Ozone,36-061-0135,3
180365,New York,New York,36,61,2012-06-02,48,Good,PM2.5,36-061-0134,4
180366,New York,New York,36,61,2012-06-03,44,Good,Ozone,36-061-0135,3
180367,New York,New York,36,61,2012-06-04,27,Good,Ozone,36-061-0135,3
180368,New York,New York,36,61,2012-06-05,37,Good,PM2.5,36-061-0134,4
180369,New York,New York,36,61,2012-06-06,31,Good,PM2.5,36-061-0128,3
180370,New York,New York,36,61,2012-06-07,41,Good,Ozone,36-061-0135,3
180371,New York,New York,36,61,2012-06-08,56,Moderate,PM2.5,36-061-0134,4
180372,New York,New York,36,61,2012-06-09,54,Moderate,PM2.5,36-061-0134,3
180373,New York,New York,36,61,2012-06-10,105,Unhealthy for Sensitive Groups,Ozone,36-061-0135,3
180374,New York,New York,36,61,2012-06-11,54,Moderate,PM2.5,36-061-0134,4
180375,New York,New York,36,61,2012-06-12,30,Good,Ozone,36-061-0135,3
180376,New York,New York,36,61,2012-06-13,32,Good,PM2.5,36-061-0128,3
180377,New York,New York,36,61,2012-06-14,53,Moderate,PM2.5,36-061-0134,4
180378,New York,New York,36,61,2012-06-15,44,Good,Ozone,36-061-0135,3
180379,New York,New York,36,61,2012-06-16,40,Good,Ozone,36-061-0135,3
180380,New York,New York,36,61,2012-06-17,53,Moderate,PM2.5,36-061-0134,4
180381,New York,New York,36,61,2012-06-18,34,Good,PM2.5,36-061-0134,3
180382,New York,New York,36,61,2012-06-19,34,Good,PM2.5,36-061-0128,3
180383,New York,New York,36,61,2012-06-20,97,Moderate,Ozone,36-061-0135,4
180384,New York,New York,36,61,2012-06-21,108,Unhealthy for Sensitive Groups,Ozone,36-061-0135,3
180385,New York,New York,36,61,2012-06-22,80,Moderate,Ozone,36-061-0135,3
180386,New York,New York,36,61,2012-06-23,58,Moderate,PM2.5,36-061-0134,4
180387,New York,New York,36,61,2012-06-24,48,Good,Ozone,36-061-0135,3
180388,New York,New York,36,61,2012-06-25,43,Good,PM2.5,36-061-0134,3
180389,New York,New York,36,61,2012-06-26,24,Good,Ozone,36-061-0135,4
180390,New York,New York,36,61,2012-06-27,36,Good,Ozone,36-061-0135,3
180391,New York,New York,36,61,2012-06-28,115,Unhealthy for Sensitive Groups,Ozone,36-061-0135,3
180392,New York,New York,36,61,2012-06-29,108,Unhealthy for Sensitive Groups,Ozone,36-061-0135,4
